Date,Inc_Month,Inc_Year,DOW,DOW_Name,Claims,Population
2016-01-01,2016-01-01,2016,6,Friday,1204.5,88071.66666666667
2016-01-02,2016-01-01,2016,7,Saturday,1435.3333333333333,88071.66666666667
2016-01-03,2016-01-01,2016,1,Sunday,912.1666666666666,88071.66666666667
2016-01-04,2016-01-01,2016,2,Monday,7026.333333333333,88071.66666666667
2016-01-05,2016-01-01,2016,3,Tuesday,6912.666666666667,88071.66666666667
2016-01-06,2016-01-01,2016,4,Wednesday,6889.666666666667,88071.66666666667
2016-01-07,2016-01-01,2016,5,Thursday,6684,88071.66666666667
2016-01-08,2016-01-01,2016,6,Friday,6029.666666666667,88071.66666666667
2016-01-09,2016-01-01,2016,7,Saturday,1601.3333333333333,88071.66666666667
2016-01-10,2016-01-01,2016,1,Sunday,878.8333333333334,88071.66666666667
2016-01-11,2016-01-01,2016,2,Monday,6909,88071.66666666667
2016-01-12,2016-01-01,2016,3,Tuesday,6293.833333333333,88071.66666666667
2016-01-13,2016-01-01,2016,4,Wednesday,6391.333333333333,88071.66666666667
2016-01-14,2016-01-01,2016,5,Thursday,6190.166666666667,88071.66666666667
2016-01-15,2016-01-01,2016,6,Friday,5807.5,88071.66666666667
2016-01-16,2016-01-01,2016,7,Saturday,1574.6666666666667,88071.66666666667
2016-01-17,2016-01-01,2016,1,Sunday,869,88071.66666666667
2016-01-18,2016-01-01,2016,2,Monday,6556.333333333333,88071.66666666667
2016-01-19,2016-01-01,2016,3,Tuesday,6619.833333333333,88071.66666666667
2016-01-20,2016-01-01,2016,4,Wednesday,6713,88071.66666666667
2016-01-21,2016-01-01,2016,5,Thursday,6379.833333333333,88071.66666666667
2016-01-22,2016-01-01,2016,6,Friday,5765,88071.66666666667
2016-01-23,2016-01-01,2016,7,Saturday,1519.1666666666667,88071.66666666667
2016-01-24,2016-01-01,2016,1,Sunday,874.8333333333334,88071.66666666667
2016-01-25,2016-01-01,2016,2,Monday,7099.166666666667,88071.66666666667
2016-01-26,2016-01-01,2016,3,Tuesday,6716,88071.66666666667
2016-01-27,2016-01-01,2016,4,Wednesday,6638.166666666667,88071.66666666667
2016-01-28,2016-01-01,2016,5,Thursday,6371.833333333333,88071.66666666667
2016-01-29,2016-01-01,2016,6,Friday,5738.5,88071.66666666667
2016-01-30,2016-01-01,2016,7,Saturday,1543,88071.66666666667
2016-01-31,2016-01-01,2016,1,Sunday,886.6666666666666,88071.66666666667
2016-02-01,2016-02-01,2016,2,Monday,7337.5,88002.33333333333
2016-02-02,2016-02-01,2016,3,Tuesday,6698,88002.33333333333
2016-02-03,2016-02-01,2016,4,Wednesday,6603.166666666667,88002.33333333333
2016-02-04,2016-02-01,2016,5,Thursday,6399.166666666667,88002.33333333333
2016-02-05,2016-02-01,2016,6,Friday,5717.166666666667,88002.33333333333
2016-02-06,2016-02-01,2016,7,Saturday,1553.8333333333333,88002.33333333333
2016-02-07,2016-02-01,2016,1,Sunday,809,88002.33333333333
2016-02-08,2016-02-01,2016,2,Monday,6911.5,88002.33333333333
2016-02-09,2016-02-01,2016,3,Tuesday,6676.333333333333,88002.33333333333
2016-02-10,2016-02-01,2016,4,Wednesday,6409.166666666667,88002.33333333333
2016-02-11,2016-02-01,2016,5,Thursday,6204.5,88002.33333333333
2016-02-12,2016-02-01,2016,6,Friday,5263.833333333333,88002.33333333333
2016-02-13,2016-02-01,2016,7,Saturday,1390.6666666666667,88002.33333333333
2016-02-14,2016-02-01,2016,1,Sunday,799.5,88002.33333333333
2016-02-15,2016-02-01,2016,2,Monday,6447.666666666667,88002.33333333333
2016-02-16,2016-02-01,2016,3,Tuesday,5117.5,88002.33333333333
2016-02-17,2016-02-01,2016,4,Wednesday,6247.833333333333,88002.33333333333
2016-02-18,2016-02-01,2016,5,Thursday,6210.166666666667,88002.33333333333
2016-02-19,2016-02-01,2016,6,Friday,5652.5,88002.33333333333
2016-02-20,2016-02-01,2016,7,Saturday,1574,88002.33333333333
2016-02-21,2016-02-01,2016,1,Sunday,891.6666666666666,88002.33333333333
2016-02-22,2016-02-01,2016,2,Monday,7106,88002.33333333333
2016-02-23,2016-02-01,2016,3,Tuesday,6875.5,88002.33333333333
2016-02-24,2016-02-01,2016,4,Wednesday,6517,88002.33333333333
2016-02-25,2016-02-01,2016,5,Thursday,6323.833333333333,88002.33333333333
2016-02-26,2016-02-01,2016,6,Friday,5697.833333333333,88002.33333333333
2016-02-27,2016-02-01,2016,7,Saturday,1563.3333333333333,88002.33333333333
2016-02-28,2016-02-01,2016,1,Sunday,910.5,88002.33333333333
2016-02-29,2016-02-01,2016,2,Monday,7186.5,88002.33333333333
2016-03-01,2016-03-01,2016,3,Tuesday,6961.5,87893.16666666667
2016-03-02,2016-03-01,2016,4,Wednesday,6404.666666666667,87893.16666666667
2016-03-03,2016-03-01,2016,5,Thursday,6363.5,87893.16666666667
2016-03-04,2016-03-01,2016,6,Friday,5737.666666666667,87893.16666666667
